Hash,Division,Collection,ProductNameDescription,ProductCategory,Colorway,CarryOver,Essential,SKUCode,ColorwaySKU0,ColorwaySKU1,ColorwaySKU2,ColorwaySKU3,ColorwaySKU4,ColorwaySKU5,ColorwaySKU6,Size0,Size1,Size2,Size3,Size4,Size5,Size6,USRetailMSRP,EURetailMSRP,CountryCode,Composition,ProductDescription,ProductFeatures
10024-00000,Bike,SP23,EXCEEDA Gel Short Finger Gloves,Gloves,Black,TRUE,TRUE,10024-00000,10024-00000,10024-00001,10024-00002,10024-00003,10024-00004,,,S,M,L,XL,2XL,,,29.5,29.5,VN,"52% Nylon
21% Polyester
13% Polyurethane (PU)
7% Elastane
7% Rubber",Endless Possibilities. No limits on the road with this glove. Ultra-light top of hand material is fused with the simplistic design and gel palm top riders expect from a premium glove. Maximum comfort and durability with minimal interference.,"• Stylish embossed slip-on cuff for application ease and comfort.
• Seamless mesh top hand and gussets improve fit over knuckles and increase airflow.
• Thumb overlay aids in reducing blisters. Perforated Clarino® palm with gel pads for vibration dampening and comfort
• Pull tabs on middle fingers to aid in removal
• Reflective print to aid in visibility."
10024-00005,Bike,SP23,EXCEEDA Gel Short Finger Gloves,Gloves,Fluo Yellow,TRUE,TRUE,10024-00005,10024-00005,10024-00006,10024-00007,10024-00008,10024-00009,,,S,M,L,XL,2XL,,,29.5,29.5,VN,"52% Nylon
21% Polyester
13% Polyurethane (PU)
7% Elastane
7% Rubber",Endless Possibilities. No limits on the road with this glove. Ultra-light top of hand material is fused with the simplistic design and gel palm top riders expect from a premium glove. Maximum comfort and durability with minimal interference.,"• Stylish embossed slip-on cuff for application ease and comfort.
• Seamless mesh top hand and gussets improve fit over knuckles and increase airflow.
• Thumb overlay aids in reducing blisters. Perforated Clarino® palm with gel pads for vibration dampening and comfort
• Pull tabs on middle fingers to aid in removal
• Reflective print to aid in visibility."
10026-00000,Bike,SP23,GEOMATIC Gloves,Gloves,Black/Charcoal,TRUE,TRUE,10026-00000,10026-00000,10026-00001,10026-00002,10026-00003,10026-00004,,,S,M,L,XL,2XL,,,34.5,34.5,VN,"73% Nylon
15% Polyurethane (PU)
9% Rubber
3% Elastane",Everyday Comfort. The multi-panel construction of the Geomatic is engineered to blend unmatched comfort and versatility into a great fitting MTB glove.,"• Slip-on embossed neoprene cuff offers maximum durability, comfort and modern look
• TPR details protect the knuckles and top of hand
• Mesh finger gussets enhance mobility and wick away moisture
• Microfiber thumb aids in cleaning eye protection or removing sweat from face
• Perforated single-layer Clarino® palm for superior airflow and comfort
• Silicone print on fingers for added grip and lever traction
• Integrated tech thread keeps you connected with your devices"
10026-00005,Bike,SP23,GEOMATIC Gloves,Gloves,Fluo Yellow,TRUE,TRUE,10026-00005,10026-00005,10026-00006,10026-00007,10026-00008,10026-00009,,,S,M,L,XL,2XL,,,34.5,34.5,VN,"73% Nylon
15% Polyurethane (PU)
9% Rubber
3% Elastane",Everyday Comfort. The multi-panel construction of the Geomatic is engineered to blend unmatched comfort and versatility into a great fitting MTB glove.,"• Slip-on embossed neoprene cuff offers maximum durability, comfort and modern look
• TPR details protect the knuckles and top of hand
• Mesh finger gussets enhance mobility and wick away moisture
• Microfiber thumb aids in cleaning eye protection or removing sweat from face
• Perforated single-layer Clarino® palm for superior airflow and comfort
• Silicone print on fingers for added grip and lever traction
• Integrated tech thread keeps you connected with your devices"
10026-00015,Bike,SP23,GEOMATIC Gloves,Gloves,Red,TRUE,TRUE,10026-00015,10026-00015,10026-00016,10026-00017,10026-00018,10026-00019,,,S,M,L,XL,2XL,,,34.5,34.5,VN,"73% Nylon
15% Polyurethane (PU)
9% Rubber
3% Elastane",Everyday Comfort. The multi-panel construction of the Geomatic is engineered to blend unmatched comfort and versatility into a great fitting MTB glove.,"• Slip-on embossed neoprene cuff offers maximum durability, comfort and modern look
• TPR details protect the knuckles and top of hand
• Mesh finger gussets enhance mobility and wick away moisture
• Microfiber thumb aids in cleaning eye protection or removing sweat from face
• Perforated single-layer Clarino® palm for superior airflow and comfort
• Silicone print on fingers for added grip and lever traction
• Integrated tech thread keeps you connected with your devices"
10027-00000,Bike,SP23,R-CORE Gloves,Gloves,Black,TRUE,TRUE,10027-00000,10027-00000,10027-00001,10027-00002,10027-00003,10027-00004,,,S,M,L,XL,2XL,,,36.5,36.5,VN,"55% Nylon
23% Polyester
8% Elastane
7% Polyurethane (PU)
7% Rubber","Durability and Mobility. This glove is equipped with snag-resistant stretch fabric, just the right amount of TPR coverage and sleek design details to provide the all around comfort you'd expect from a performance product. You won't be disappointed with this glove when excelling down extreme trails.","• Adjustable embossed neoprene cuff offers style with maximum durability and comfort
• 4-way stretch top hand to increase abrasion resistance
• TPR logos on top of hand and pinky for added protection
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• Mesh finger gussets enhance mobility and increase air flow
• Microfiber thumb overlay provides absorbent wiping surface
• Perforated single-layer Clarino® palm for superior airflow and comfort
• Silicone printed palm and finger graphics improve palm and lever traction
• Integrated tech-thread keeps you connected with your devices"
10027-00010,Bike,SP23,R-CORE Gloves,Gloves,Fluo Yellow,TRUE,TRUE,10027-00010,10027-00010,10027-00011,10027-00012,10027-00013,10027-00014,,,S,M,L,XL,2XL,,,36.5,36.5,VN,"55% Nylon
23% Polyester
8% Elastane
7% Polyurethane (PU)
7% Rubber","Durability and Mobility. This glove is equipped with snag-resistant stretch fabric, just the right amount of TPR coverage and sleek design details to provide the all around comfort you'd expect from a performance product. You won't be disappointed with this glove when excelling down extreme trails.","• Adjustable embossed neoprene cuff offers style with maximum durability and comfort
• 4-way stretch top hand to increase abrasion resistance
• TPR logos on top of hand and pinky for added protection
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• Mesh finger gussets enhance mobility and increase air flow
• Microfiber thumb overlay provides absorbent wiping surface
• Perforated single-layer Clarino® palm for superior airflow and comfort
• Silicone printed palm and finger graphics improve palm and lever traction
• Integrated tech-thread keeps you connected with your devices"
10027-00015,Bike,SP23,R-CORE Gloves,Gloves,Racer Red,TRUE,FALSE,10027-00015,10027-00015,10027-00016,10027-00017,10027-00018,10027-00019,,,S,M,L,XL,2XL,,,36.5,36.5,VN,"55% Nylon
23% Polyester
8% Elastane
7% Polyurethane (PU)
7% Rubber","Durability and Mobility. This glove is equipped with snag-resistant stretch fabric, just the right amount of TPR coverage and sleek design details to provide the all around comfort you'd expect from a performance product. You won't be disappointed with this glove when excelling down extreme trails.","• Adjustable embossed neoprene cuff offers style with maximum durability and comfort
• 4-way stretch top hand to increase abrasion resistance
• TPR logos on top of hand and pinky for added protection
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• Mesh finger gussets enhance mobility and increase air flow
• Microfiber thumb overlay provides absorbent wiping surface
• Perforated single-layer Clarino® palm for superior airflow and comfort
• Silicone printed palm and finger graphics improve palm and lever traction
• Integrated tech-thread keeps you connected with your devices"
20000-00000,"Bike, Moto",SP23,CLASSIC Short Sleeve Tee,Apparel,Black,TRUE,TRUE,20000-00000,20000-00000,20000-00001,20000-00002,20000-00003,20000-00004,,,S,M,L,XL,2XL,,,23,25,MX,"Red
100% Cotton
All Others
50% Cotton
50% Polyester",A custom buttery soft T-shirt with the right fit and cut designed for comfort and style.,"• Jersey knit tee
• Rib neckband 
• Soft hand screen-print graphic
• Modern Fit"
20000-00005,"Bike, Moto",SP23,OFFICIAL Short Sleeve Tee,Apparel,Black,TRUE,TRUE,20000-00005,20000-00005,20000-00006,20000-00007,20000-00008,20000-00009,,,S,M,L,XL,2XL,,,23,25,MX,"Red
100% Cotton
All Others
50% Cotton
50% Polyester",A custom buttery soft T-shirt with the right fit and cut designed for comfort and style.,"• Jersey knit tee
• Rib neckband 
• Soft hand screen-print graphic
• Modern Fit"
20000-00010,"Bike, Moto",SP23,OFFICIAL Short Sleeve Tee,Apparel,Red,TRUE,TRUE,20000-00010,20000-00010,20000-00011,20000-00012,20000-00013,20000-00014,,,S,M,L,XL,2XL,,,23,25,MX,"Red
100% Cotton
All Others
50% Cotton
50% Polyester",A custom buttery soft T-shirt with the right fit and cut designed for comfort and style.,"• Jersey knit tee
• Rib neckband 
• Soft hand screen-print graphic
• Modern Fit"
20000-00015,"Bike, Moto",SP23,OFFICIAL Short Sleeve Tee,Apparel,Royal,TRUE,TRUE,20000-00015,20000-00015,20000-00016,20000-00017,20000-00018,20000-00019,,,S,M,L,XL,2XL,,,23,25,MX,"Red
100% Cotton
All Others
50% Cotton
50% Polyester",A custom buttery soft T-shirt with the right fit and cut designed for comfort and style.,"• Jersey knit tee
• Rib neckband 
• Soft hand screen-print graphic
• Modern Fit"
20000-00020,"Bike, Moto",SP23,ICON Short Sleeve Tee,Apparel,Black,TRUE,FALSE,20000-00020,20000-00020,20000-00021,20000-00022,20000-00023,20000-00024,,,S,M,L,XL,2XL,,,23,25,MX,"Red
100% Cotton
All Others
50% Cotton
50% Polyester",A custom buttery soft T-shirt with the right fit and cut designed for comfort and style.,"• Jersey knit tee
• Rib neckband 
• Soft hand screen-print graphic
• Modern Fit"
20000-00025,"Bike, Moto",SP23,ICON Short Sleeve Tee,Apparel,Heather Grey,TRUE,FALSE,20000-00025,20000-00025,20000-00026,20000-00027,20000-00028,20000-00029,,,S,M,L,XL,2XL,,,23,25,MX,"Red
100% Cotton
All Others
50% Cotton
50% Polyester",A custom buttery soft T-shirt with the right fit and cut designed for comfort and style.,"• Jersey knit tee
• Rib neckband 
• Soft hand screen-print graphic
• Modern Fit"
20000-00030,"Bike, Moto",SP23,ICON Short Sleeve Tee,Apparel,Maroon Heather,TRUE,FALSE,20000-00030,20000-00030,20000-00031,20000-00032,20000-00033,20000-00034,,,S,M,L,XL,2XL,,,23,25,MX,"Red
100% Cotton
All Others
50% Cotton
50% Polyester",A custom buttery soft T-shirt with the right fit and cut designed for comfort and style.,"• Jersey knit tee
• Rib neckband 
• Soft hand screen-print graphic
• Modern Fit"
20000-00035,"Bike, Moto",SP23,ICON Short Sleeve Tee,Apparel,Ocean Blue Heather,TRUE,FALSE,20000-00035,20000-00035,20000-00036,20000-00037,20000-00038,20000-00039,,,S,M,L,XL,2XL,,,23,25,MX,"Red
100% Cotton
All Others
50% Cotton
50% Polyester",A custom buttery soft T-shirt with the right fit and cut designed for comfort and style.,"• Jersey knit tee
• Rib neckband 
• Soft hand screen-print graphic
• Modern Fit"
20000-00040,"Bike, Moto",SP23,ICON Short Sleeve Tee,Apparel,Orange,TRUE,FALSE,20000-00040,20000-00040,20000-00041,20000-00042,20000-00043,20000-00044,,,S,M,L,XL,2XL,,,23,25,MX,"Red
100% Cotton
All Others
50% Cotton
50% Polyester",A custom buttery soft T-shirt with the right fit and cut designed for comfort and style.,"• Jersey knit tee
• Rib neckband 
• Soft hand screen-print graphic
• Modern Fit"
20000-00045,"Bike, Moto",SP23,ICON Short Sleeve Tee,Apparel,Navy Heather,TRUE,FALSE,20000-00045,20000-00045,20000-00046,20000-00047,20000-00048,20000-00049,,,S,M,L,XL,2XL,,,23,25,MX,"Red
100% Cotton
All Others
50% Cotton
50% Polyester",A custom buttery soft T-shirt with the right fit and cut designed for comfort and style.,"• Jersey knit tee
• Rib neckband 
• Soft hand screen-print graphic
• Modern Fit"
20000-00050,"Bike, Moto",SP23,ICON Short Sleeve Tee,Apparel,White,TRUE,FALSE,20000-00050,20000-00050,20000-00051,20000-00052,20000-00053,20000-00054,,,S,M,L,XL,2XL,,,23,25,MX,"Red
100% Cotton
All Others
50% Cotton
50% Polyester",A custom buttery soft T-shirt with the right fit and cut designed for comfort and style.,"• Jersey knit tee
• Rib neckband 
• Soft hand screen-print graphic
• Modern Fit"
20001-00000,"Bike, Moto",SP23,OFFICIAL Youth Short Sleeve Tee,Apparel,Black,TRUE,TRUE,20001-00000,20001-00000,20001-00001,20001-00002,20001-00003,,,,S,M,L,XL,,,,20,22,MX,"50% Cotton
50% Polyester",A custom buttery soft T-shirt with the right fit and cut designed for comfort and style.,"• Jersey knit tee
• Rib neckband 
• Soft hand screen-print graphic
• Modern Fit"
20001-00004,"Bike, Moto",SP23,ICON Youth Short Sleeve Tee,Apparel,Black,TRUE,TRUE,20001-00004,20001-00004,20001-00005,20001-00006,20001-00007,,,,S,M,L,XL,,,,20,22,MX,"50% Cotton
50% Polyester",A custom buttery soft T-shirt with the right fit and cut designed for comfort and style.,"• Jersey knit tee
• Rib neckband 
• Soft hand screen-print graphic
• Modern Fit"
20001-00008,"Bike, Moto",SP23,ICON Youth Short Sleeve Tee,Apparel,Heather Grey,TRUE,TRUE,20001-00008,20001-00008,20001-00009,20001-00010,20001-00011,,,,S,M,L,XL,,,,20,22,MX,"50% Cotton
50% Polyester",A custom buttery soft T-shirt with the right fit and cut designed for comfort and style.,"• Jersey knit tee
• Rib neckband 
• Soft hand screen-print graphic
• Modern Fit"
20001-00012,"Bike, Moto",SP23,ICON Youth Short Sleeve Tee,Apparel,Navy Heather,TRUE,TRUE,20001-00012,20001-00012,20001-00013,20001-00014,20001-00015,,,,S,M,L,XL,,,,20,22,MX,"50% Cotton
50% Polyester",A custom buttery soft T-shirt with the right fit and cut designed for comfort and style.,"• Jersey knit tee
• Rib neckband 
• Soft hand screen-print graphic
• Modern Fit"
20002-00000,"Bike, Moto",SP23,ICON Women's Short Sleeve Tee,Apparel,Black,TRUE,TRUE,20002-00000,20002-00000,20002-00001,20002-00002,20002-00003,,,,S,M,L,XL,,,,23,25,MX,"50% Cotton
50% Polyester",Custom buttery soft T-shirt with the right fit and cut designed for comfort and style.,"• Jersey knit tee
• Rib neckband 
• Soft hand screen-print graphic
• Modern Fit"
20002-00004,"Bike, Moto",SP23,ICON Women's Short Sleeve Tee,Apparel,Heather grey,TRUE,TRUE,20002-00004,20002-00004,20002-00005,20002-00006,20002-00007,,,,S,M,L,XL,,,,23,25,MX,"50% Cotton
50% Polyester",Custom buttery soft T-shirt with the right fit and cut designed for comfort and style.,"• Jersey knit tee
• Rib neckband 
• Soft hand screen-print graphic
• Modern Fit"
20006-00000,"Bike, Moto",SP23,BILTO Long Sleeve Tee,Apparel,Black,TRUE,TRUE,20006-00000,20006-00000,20006-00001,20006-00002,20006-00003,20006-00004,,,S,M,L,XL,2XL,,,30,32,MX,"50% Cotton
50% Polyester",Custom buttery soft T-shirt with the right fit and cut designed for comfort and style.,"• Jersey knit tee
• Rib neckband 
• Soft hand screen-print graphic
• Modern Fit"
20012-00000,"Bike, Moto",SP23,ICON 3/4 Sleeve Tech Tee,Apparel,Grey/Black,TRUE,TRUE,20012-00000,20012-00000,20012-00001,20012-00002,20012-00003,20012-00004,,,S,M,L,XL,2XL,,,36,38,SV,"15% Cotton
85% Polyester",Stay cool and dry in our custom 3/4 sleeve tech T-shirt. Designed with the right fit and cut for optimum comfort and style. Features a moisture-wicking Dri-release® functional fabric combined with our timeless and bold aesthetic.,"•  Dri-release® jersey chassis w/ 1X1 rib neckband 
• Moisture-wicking performance jersey
• Quick-drying, dries 4x faster than Cotton
• Soft hand screen-print graphic
• 3/4 sleeve 
• Modern Fit with curved hem"
20014-00000,"Bike, Moto",SP23,MISSION Athletic Short Sleeve Tee,Apparel,Black,TRUE,TRUE,20014-00000,20014-00000,20014-00001,20014-00002,20014-00003,20014-00004,,,S,M,L,XL,2XL,,,39,44,TW,"89% Polyester
11% Elastane",Athletic Mission Tee is made from premium materials for superior comfort.,"• Jersey knit chassis with moisture management and anti-microbial properties
• Self neckband 
• Left chest patch pocket with laser cut woven label
• Flatlock seams for reduced chaffing
• Heat transfer logo"
20014-00005,"Bike, Moto",SP23,MISSION Athletic Short Sleeve Tee,Apparel,Heather Grey,TRUE,TRUE,20014-00005,20014-00005,20014-00006,20014-00007,20014-00008,20014-00009,,,S,M,L,XL,2XL,,,39,44,TW,"89% Polyester
11% Elastane",Athletic Mission Tee is made from premium materials for superior comfort.,"• Jersey knit chassis with moisture management and anti-microbial properties
• Self neckband 
• Left chest patch pocket with laser cut woven label
• Flatlock seams for reduced chaffing
• Heat transfer logo"
20014-00010,"Bike, Moto",SP23,MISSION Athletic Short Sleeve Tee,Apparel,Heather Charcoal,TRUE,TRUE,20014-00010,20014-00010,20014-00011,20014-00012,20014-00013,20014-00014,,,S,M,L,XL,2XL,,,39,44,TW,"89% Polyester
11% Elastane",Athletic Mission Tee is made from premium materials for superior comfort.,"• Jersey knit chassis with moisture management and anti-microbial properties
• Self neckband 
• Left chest patch pocket with laser cut woven label
• Flatlock seams for reduced chaffing
• Heat transfer logo"
20014-00015,"Bike, Moto",SP23,MISSION Athletic Short Sleeve Tee,Apparel,Olive,TRUE,TRUE,20014-00015,20014-00015,20014-00016,20014-00017,20014-00018,20014-00019,,,S,M,L,XL,2XL,,,39,44,TW,"89% Polyester
11% Elastane",Athletic Mission Tee is made from premium materials for superior comfort.,"• Jersey knit chassis with moisture management and anti-microbial properties
• Self neckband 
• Left chest patch pocket with laser cut woven label
• Flatlock seams for reduced chaffing
• Heat transfer logo"
20026-00000,"Bike, Moto",SP23,ICON Pullover Crewneck Fleece,Apparel,Black,TRUE,TRUE,20026-00000,20026-00000,20026-00001,20026-00002,20026-00003,20026-00004,,,S,M,L,XL,2XL,,,50,55,CN,"Avalanche
60% Cotton
40% Polyester
All Others
80% Cotton
20% Polyester",Pull-over crewneck features a Cotton/Polyester brushed-back fleece. The soft rich fleece is perfect when the temperatures cool down.,"• Cotton/Polyester blend brushed-back fleece chassis 
• Classic pull-over fit
• Rib cuff and hem and neck band finish
• Screen-printed chest logo"
20026-00005,"Bike, Moto",SP23,ICON Pullover Crewneck Fleece,Apparel,Chalk,TRUE,TRUE,20026-00005,20026-00005,20026-00006,20026-00007,20026-00008,20026-00009,,,S,M,L,XL,2XL,,,50,55,CN,"Avalanche
60% Cotton
40% Polyester
All Others
80% Cotton
20% Polyester",Pull-over crewneck features a Cotton/Polyester brushed-back fleece. The soft rich fleece is perfect when the temperatures cool down.,"• Cotton/Polyester blend brushed-back fleece chassis 
• Classic pull-over fit
• Rib cuff and hem and neck band finish
• Screen-printed chest logo"
20026-00010,"Bike, Moto",SP23,ICON Pullover Crewneck Fleece,Apparel,Deep Red,TRUE,TRUE,20026-00010,20026-00010,20026-00011,20026-00012,20026-00013,20026-00014,,,S,M,L,XL,2XL,,,50,55,CN,"Avalanche
60% Cotton
40% Polyester
All Others
80% Cotton
20% Polyester",Pull-over crewneck features a Cotton/Polyester brushed-back fleece. The soft rich fleece is perfect when the temperatures cool down.,"• Cotton/Polyester blend brushed-back fleece chassis 
• Classic pull-over fit
• Rib cuff and hem and neck band finish
• Screen-printed chest logo"
20026-00015,"Bike, Moto",SP23,ICON Pullover Crewneck Fleece,Apparel,Navy,TRUE,TRUE,20026-00015,20026-00015,20026-00016,20026-00017,20026-00018,20026-00019,,,S,M,L,XL,2XL,,,50,55,CN,"Avalanche
60% Cotton
40% Polyester
All Others
80% Cotton
20% Polyester",Pull-over crewneck features a Cotton/Polyester brushed-back fleece. The soft rich fleece is perfect when the temperatures cool down.,"• Cotton/Polyester blend brushed-back fleece chassis 
• Classic pull-over fit
• Rib cuff and hem and neck band finish
• Screen-printed chest logo"
20026-00020,"Bike, Moto",SP23,AVALANCHE Pullover Crewneck Fleece,Apparel,Light Black,TRUE,FALSE,20026-00020,20026-00020,20026-00021,20026-00022,20026-00023,20026-00024,,,S,M,L,XL,2XL,,,50,55,CN,"Avalanche
60% Cotton
40% Polyester
All Others
80% Cotton
20% Polyester",Pull-over crewneck features a Cotton/Polyester brushed-back fleece. The soft rich fleece is perfect when the temperatures cool down.,"• Cotton/Polyester blend brushed-back fleece chassis 
• Classic pull-over fit
• Rib cuff and hem and neck band finish
• Screen-printed chest logo"
20029-00000,"Bike, Moto",SP23,ICON Pullover Hoodie Fleece,Apparel,Black,TRUE,TRUE,20029-00000,20029-00000,20029-00001,20029-00002,20029-00003,20029-00004,,,S,M,L,XL,2XL,,,50,55,CN,"80% Cotton
20% Polyester",Pull-over hoodie feature a Cotton/Polyester brushed-back fleece. The soft rich fleece is perfect when the temperatures cool down. Classic kangaroo pocket,"• Light-weight brushed-back fleece
• Screen-printed chest logo
• Classic kangaroo pouch pocket
• Flat style draw cord
• Custom trim package
• Classic fit"
20029-00005,"Bike, Moto",SP23,ICON Pullover Hoodie Fleece,Apparel,Chalk,TRUE,TRUE,20029-00005,20029-00005,20029-00006,20029-00007,20029-00008,20029-00009,,,S,M,L,XL,2XL,,,50,55,CN,"80% Cotton
20% Polyester",Pull-over hoodie feature a Cotton/Polyester brushed-back fleece. The soft rich fleece is perfect when the temperatures cool down. Classic kangaroo pocket,"• Light-weight brushed-back fleece
• Screen-printed chest logo
• Classic kangaroo pouch pocket
• Flat style draw cord
• Custom trim package
• Classic fit"
20029-00010,"Bike, Moto",SP23,ICON Pullover Hoodie Fleece,Apparel,Deep Red,TRUE,TRUE,20029-00010,20029-00010,20029-00011,20029-00012,20029-00013,20029-00014,,,S,M,L,XL,2XL,,,50,55,CN,"80% Cotton
20% Polyester",Pull-over hoodie feature a Cotton/Polyester brushed-back fleece. The soft rich fleece is perfect when the temperatures cool down. Classic kangaroo pocket,"• Light-weight brushed-back fleece
• Screen-printed chest logo
• Classic kangaroo pouch pocket
• Flat style draw cord
• Custom trim package
• Classic fit"
20029-00015,"Bike, Moto",SP23,ICON Pullover Hoodie Fleece,Apparel,Heather Grey,TRUE,TRUE,20029-00015,20029-00015,20029-00016,20029-00017,20029-00018,20029-00019,,,S,M,L,XL,2XL,,,50,55,CN,"80% Cotton
20% Polyester",Pull-over hoodie feature a Cotton/Polyester brushed-back fleece. The soft rich fleece is perfect when the temperatures cool down. Classic kangaroo pocket,"• Light-weight brushed-back fleece
• Screen-printed chest logo
• Classic kangaroo pouch pocket
• Flat style draw cord
• Custom trim package
• Classic fit"
20029-00020,"Bike, Moto",SP23,ICON Pullover Hoodie Fleece,Apparel,Orange,TRUE,TRUE,20029-00020,20029-00020,20029-00021,20029-00022,20029-00023,20029-00024,,,S,M,L,XL,2XL,,,50,55,CN,"80% Cotton
20% Polyester",Pull-over hoodie feature a Cotton/Polyester brushed-back fleece. The soft rich fleece is perfect when the temperatures cool down. Classic kangaroo pocket,"• Light-weight brushed-back fleece
• Screen-printed chest logo
• Classic kangaroo pouch pocket
• Flat style draw cord
• Custom trim package
• Classic fit"
20029-00025,"Bike, Moto",SP23,ICON Pullover Hoodie Fleece,Apparel,Navy,TRUE,TRUE,20029-00025,20029-00025,20029-00026,20029-00027,20029-00028,20029-00029,,,S,M,L,XL,2XL,,,50,55,CN,"80% Cotton
20% Polyester",Pull-over hoodie feature a Cotton/Polyester brushed-back fleece. The soft rich fleece is perfect when the temperatures cool down. Classic kangaroo pocket,"• Light-weight brushed-back fleece
• Screen-printed chest logo
• Classic kangaroo pouch pocket
• Flat style draw cord
• Custom trim package
• Classic fit"
20029-00030,"Bike, Moto",SP23,CLASSIC Pullover Hoodie Fleece,Apparel,Black,TRUE,TRUE,20029-00030,20029-00030,20029-00031,20029-00032,20029-00033,20029-00034,,,S,M,L,XL,2XL,,,50,55,CN,"80% Cotton
20% Polyester",Pull-over hoodie feature a Cotton/Polyester brushed-back fleece. The soft rich fleece is perfect when the temperatures cool down. Classic kangaroo pocket,"• Light-weight brushed-back fleece
• Screen-printed chest logo
• Classic kangaroo pouch pocket
• Flat style draw cord
• Custom trim package
• Classic fit"
20030-00000,"Bike, Moto",SP23,ICON Youth Pullover Hoodie Fleece,Apparel,Black,TRUE,TRUE,20030-00000,20030-00000,20030-00001,20030-00002,20030-00003,,,,S,M,L,XL,,,,40,45,CN,"Colors
80% Cotton
20% Polyester
Heathers
55% Cotton
45% Polyester",Pull-over hoodie feature a Cotton/Polyester brushed-back fleece. The soft rich fleece is perfect when the temperatures cool down. Classic kangaroo pocket,"• Light-weight brushed-back fleece
• Screen-printed chest logo
• Classic kangaroo pouch pocket
• Custom trim package
• Classic fit"
20030-00004,"Bike, Moto",SP23,ICON Youth Pullover Hoodie Fleece,Apparel,Heather Grey,TRUE,TRUE,20030-00004,20030-00004,20030-00005,20030-00006,20030-00007,,,,S,M,L,XL,,,,40,45,CN,"Colors
80% Cotton
20% Polyester
Heathers
55% Cotton
45% Polyester",Pull-over hoodie feature a Cotton/Polyester brushed-back fleece. The soft rich fleece is perfect when the temperatures cool down. Classic kangaroo pocket,"• Light-weight brushed-back fleece
• Screen-printed chest logo
• Classic kangaroo pouch pocket
• Custom trim package
• Classic fit"
20031-00000,"Bike, Moto",SP23,ICON Women's Pullover Hoodie Fleece,Apparel,Black,TRUE,TRUE,20031-00000,20031-00000,20031-00001,20031-00002,20031-00003,,,,S,M,L,XL,,,,50,55,CN,"80% Cotton
20% Polyester",This pull-over hoodie features a Cotton/Polyester brushed-back fleece. The soft rich fleece is perfect when the temperatures cool down. Classic kangaroo pocket and hod flat drawcord pulls,"• Light-weight brushed-back fleece
• Screen-printed chest logo
• Classic kangaroo pouch pocket
• Flat draw cord
• Laser cut woven label detail at wearer's left side seam
• Custom trim package
• Classic fit"
20031-00004,"Bike, Moto",SP23,ICON Women's Pullover Hoodie Fleece,Apparel,Heather Grey,TRUE,TRUE,20031-00004,20031-00004,20031-00005,20031-00006,20031-00007,,,,S,M,L,XL,,,,50,55,CN,"80% Cotton
20% Polyester",This pull-over hoodie features a Cotton/Polyester brushed-back fleece. The soft rich fleece is perfect when the temperatures cool down. Classic kangaroo pocket and hod flat drawcord pulls,"• Light-weight brushed-back fleece
• Screen-printed chest logo
• Classic kangaroo pouch pocket
• Flat draw cord
• Laser cut woven label detail at wearer's left side seam
• Custom trim package
• Classic fit"
20032-00000,"Bike, Moto",SP23,SYNDICATE Zip Hoodie Fleece,Apparel,Black,TRUE,TRUE,20032-00000,20032-00000,20032-00001,20032-00002,20032-00003,20032-00004,,,S,M,L,XL,2XL,,,75,60,CN,"SYNDICATE Black Heather
55% Cotton
45% Polyester
SYNDICATE Camo
60% Cotton
40% Polyester
OFFICIAL Colors
80% Cotton
20% Polyester",Full zip hoodie features a Cotton/Polyester brushedback fleece. The soft rich fleece is perfect when the temperatures cool down. Classic kangaroo pocket and flat lace draw cords. Score easy style points with embroidered logos and custom trim package.,"• Cotton/Polyester blend brushed-back fleece chassis 
• Classic zipper front hood fit with front pockets
• Soft jersey hood lining
• Hood draw cord closure
• Laser cut woven label detail at wearer's left side seam
• Embroidered chest logo"
20032-00005,"Bike, Moto",SP23,SYNDICATE Zip Hoodie Fleece,Apparel,Camo,TRUE,TRUE,20032-00005,20032-00005,20032-00006,20032-00007,20032-00008,20032-00009,,,S,M,L,XL,2XL,,,75,60,CN,"SYNDICATE Black Heather
55% Cotton
45% Polyester
SYNDICATE Camo
60% Cotton
40% Polyester
OFFICIAL Colors
80% Cotton
20% Polyester",Full zip hoodie features a Cotton/Polyester brushedback fleece. The soft rich fleece is perfect when the temperatures cool down. Classic kangaroo pocket and flat lace draw cords. Score easy style points with embroidered logos and custom trim package.,"• Cotton/Polyester blend brushed-back fleece chassis 
• Classic zipper front hood fit with front pockets
• Soft jersey hood lining
• Hood draw cord closure
• Laser cut woven label detail at wearer's left side seam
• Embroidered chest logo"
